epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
1,0.6900826692581177,0.6351549625396729,0.4864480197429657,0.39759036898612976,0.568965494632721,0.6926536560058594,0.8518518805503845,0.5406672954559326,0.7168297171592712,0.7142857313156128,0.7142857313156128,0.7919642925262451,0.0010000000474974513
2,0.7148760557174683,0.5617190003395081,0.6367579102516174,0.43529412150382996,0.6379310488700867,0.756184458732605,0.8888888955116272,0.4323497414588928,0.8018769025802612,0.8333333134651184,0.7142857313156128,0.8857142925262451,0.0010000000474974513
3,0.8264462947845459,0.46939054131507874,0.7669517993927002,0.6212121248245239,0.7068965435028076,0.8449681997299194,0.8703703880310059,0.37724584341049194,0.844557523727417,0.8181818127632141,0.6428571343421936,0.9214285612106323,0.0010000000474974513
4,0.7809917330741882,0.5253652334213257,0.6972722411155701,0.534246563911438,0.6724137663841248,0.7902923822402954,0.9074074029922485,0.39632055163383484,0.8681627511978149,0.8461538553237915,0.7857142686843872,0.9357142448425293,0.0010000000474974513
5,0.8140496015548706,0.4366142451763153,0.8060322403907776,0.5844155550003052,0.7758620977401733,0.8719078302383423,0.9074074029922485,0.33384883403778076,0.8762288093566895,0.8461538553237915,0.7857142686843872,0.9428571462631226,0.0010000000474974513
6,0.85537189245224,0.42444175481796265,0.8001222014427185,0.7017543911933899,0.6896551847457886,0.8779516816139221,0.8888888955116272,0.2924239933490753,0.8938628435134888,0.8333333134651184,0.7142857313156128,0.9553571939468384,0.0010000000474974513
7,0.8842975497245789,0.38148584961891174,0.8539482355117798,0.7678571343421936,0.7413793206214905,0.9026423692703247,0.9074074029922485,0.2993507385253906,0.8945010900497437,0.8461538553237915,0.7857142686843872,0.956250011920929,0.0010000000474974513
8,0.8677685856819153,0.362162321805954,0.8732724189758301,0.6911764740943909,0.8103448152542114,0.9192279577255249,0.8888888955116272,0.2777814567089081,0.9141282439231873,0.8333333134651184,0.7142857313156128,0.9651785492897034,0.0010000000474974513
9,0.8801652789115906,0.38869139552116394,0.8430832028388977,0.7636363506317139,0.7241379022598267,0.8984726071357727,0.9074074029922485,0.26925456523895264,0.9198731780052185,0.8461538553237915,0.7857142686843872,0.9705356955528259,0.0010000000474974513
10,0.8223140239715576,0.4059610366821289,0.8192386627197266,0.6000000238418579,0.7758620977401733,0.886197566986084,0.9444444179534912,0.257416307926178,0.9198731780052185,0.8666666746139526,0.9285714030265808,0.9705357551574707,0.0010000000474974513
11,0.9297520518302917,0.3153579533100128,0.9131296873092651,0.859649121761322,0.8448275923728943,0.9469171762466431,0.8888888955116272,0.23451974987983704,0.9369193911552429,0.8333333134651184,0.7142857313156128,0.9750000238418579,0.0010000000474974513
12,0.9256198406219482,0.3340206444263458,0.8959888219833374,0.8703703880310059,0.8103448152542114,0.9278017282485962,0.9444444179534912,0.23702815175056458,0.9369193911552429,0.8666666746139526,0.9285714030265808,0.9749999642372131,0.0010000000474974513
13,0.9256198406219482,0.32170969247817993,0.9075567126274109,0.8448275923728943,0.8448275923728943,0.9353448152542114,0.9444444179534912,0.24329183995723724,0.9369193911552429,0.8666666746139526,0.9285714030265808,0.9750000238418579,0.0010000000474974513
14,0.8636363744735718,0.33117353916168213,0.8814258575439453,0.6865671873092651,0.7931034564971924,0.9234445095062256,0.9444444179534912,0.24144060909748077,0.9369193911552429,0.8666666746139526,0.9285714030265808,0.9750000238418579,0.0003000000142492354
15,0.8925619721412659,0.3512001633644104,0.868914783000946,0.7758620977401733,0.7758620977401733,0.9142615795135498,0.9444444179534912,0.23802118003368378,0.9369193911552429,0.8666666746139526,0.9285714030265808,0.9750000238418579,0.0003000000142492354
